time_ms,torque,position,velocity,raw
1776843836647,0.10314599069199666,0.0,0.04229800869764233,
1776843836658,0.1046345845731289,0.0,0.07318226901655578,
1776843836668,0.10328316929884801,0.0,0.12823682001983627,
1776843836679,0.12318482490272374,0.0,-0.020813305867093845,
1776843836690,0.12295128557259483,0.0,0.030212863355458808,
1776843836701,0.13030453192950334,0.0,0.0060425726710917615,
1776843836712,0.13610349431601437,0.0,-0.0020141908903639205,
1776843836723,0.14094235904478525,0.0,-0.0006713969634546402,
1776843836733,0.14594571602960252,0.0,-0.0006713969634546402,
1776843836744,0.1505193789578088,0.0,0.003356984817273201,
1776843836755,0.15562680247196156,0.0,0.0020141908903639205,
1776843836766,0.16008632791638058,0.0,0.007385366598001042,
1776843836777,0.16211875333791106,0.0,0.03558403906309593,
1776843836787,0.16859918364232854,0.0,0.019470511940184565,
1776843836798,0.1706148241397727,0.0,0.04766918440527945,
1776843836809,0.1593905165178913,0.0,0.19940489814602813,
1776843836820,0.15242957961394688,0.0,0.30817120622567984,
1776843836830,0.17969981689173728,0.0,0.07586785687037434,
1776843836841,0.18832536049439236,0.0,0.03692683299000521,
1776843836851,0.19664541847867556,0.0,0.003356984817273201,
1776843836862,0.200483901731899,0.0,0.014099336232547444,
1776843836873,0.20542347600518812,0.0,0.014099336232547444,
1776843836883,0.2033973067826353,0.0,0.08123903257801146,
1776843836894,0.2078434042877852,0.0,0.08258182650492074,
1776843836904,0.21715712977798127,0.0,0.03692683299000521,
1776843836915,0.22393633173113606,0.0,0.018127718013275285,
1776843836926,0.22926195925841159,0.0,0.014099336232547444,
1776843836936,0.22761848630502793,0.0,0.0785534447241929,
1776843836947,0.2180995269703213,0.0,0.21417563134203021,
1776843836958,0.20877862973983385,0.0,0.3457694361791397,
1776843836968,0.20069981689173744,0.0,0.4599069199664285,
1776843836979,0.23857812619211116,0.0,0.12286564431219915,
1776843836990,0.2598830014496071,0.0,-0.03826962691691449,
1776843837001,0.2566651026169223,0.0,0.04229800869764233,
1776843837012,0.2683052185854887,0.0,-0.023498893720912406,
1776843837022,0.2700187304493782,0.0,0.008728160524910322,
1776843837033,0.2767509346150912,0.0,-0.008728160524910322,
1776843837043,0.28066662851911195,0.0,0.0020141908903639205,
1776843837054,0.2862306019684139,0.0,-0.003356984817273201,
1776843837064,0.29069684138246743,0.0,0.0020141908903639205,
1776843837075,0.295126153963531,0.0,0.007385366598001042,
1776843837085,0.3,0.0,-0.007385366598001042,
